"Core","Property","Depth","Age_BP","Age_CE","Value"
"DA06_139G","Sum_perc",0.5,-33,1983,29.51
"DA06_139G","Sum_perc",5.5,17,1933,12.22
"DA06_139G","Sum_perc",10.5,68,1882,35.24
"DA06_139G","Sum_perc",15.5,119,1831,36.59
"DA06_139G","Sum_perc",20.5,169,1781,9.33
"DA06_139G","Sum_perc",25.5,220,1730,43.2
"DA06_139G","Sum_perc",30.5,271,1679,17.34
"DA06_139G","Sum_perc",35.5,321,1629,28.31
"DA06_139G","Sum_perc",40.5,372,1578,27.6
"DA06_139G","Sum_perc",45.5,423,1527,16.29
"DA06_139G","Sum_perc",50.5,473,1477,14.56
"DA06_139G","Sum_perc",55.5,524,1426,16.72
"DA06_139G","Sum_perc",60.5,575,1375,32.19
"DA06_139G","Sum_perc",65.5,625,1325,20.93
"DA06_139G","Sum_perc",70.5,676,1274,13.78
"DA06_139G","Sum_perc",75.5,726,1224,12.43
"DA06_139G","Sum_perc",80.5,777,1173,10.56
"DA06_139G","Sum_perc",85.5,828,1122,19.35
"DA06_139G","Sum_perc",90.5,878,1072,28.93
"DA06_139G","Sum_perc",95.5,929,1021,30.03
"DA06_139G","Sum_perc",100.5,980,970,15.96
"DA06_139G","Sum_perc",105.5,1030,920,25.58
"DA06_139G","Sum_perc",110.5,1081,869,32.13
"DA06_139G","Sum_perc",115.5,1132,818,17.67
"DA06_139G","Sum_perc",120.5,1182,768,22.52
"DA06_139G","Sum_perc",125.5,1233,717,11.75
"DA06_139G","Sum_perc",130.5,1284,666,22.73
"DA06_139G","Sum_perc",135.5,1334,616,9.52
"DA06_139G","Sum_perc",140.5,1364,586,11.15
"DA06_139G","Sum_perc",145.5,1376,574,13.67
"DA06_139G","Sum_perc",150.5,1387,563,10.63
"DA06_139G","Sum_perc",155.5,1399,551,6.69
"DA06_139G","Sum_perc",160.5,1411,539,27.33
"DA06_139G","Sum_perc",165.5,1422,528,17.4
"DA06_139G","Sum_perc",170.5,1434,516,12.25
"DA06_139G","Sum_perc",175.5,1446,504,24.85
"DA06_139G","Sum_perc",180.5,1457,493,19.03
"DA06_139G","Sum_perc",185.5,1495,455,20.97
"DA06_139G","Sum_perc",190.5,1553,397,26.91
"DA06_139G","Sum_perc",195.5,1611,339,28.21
"DA06_139G","Sum_perc",200.5,1669,281,6.96
"DA06_139G","Sum_perc",205.5,1727,223,24.67
"DA06_139G","Sum_perc",210.5,1786,164,26.97
"DA06_139G","Sum_perc",215.5,1844,106,31.05
"DA06_139G","Sum_perc",220.5,1902,48,7.21
"DA06_139G","Sum_perc",225.5,1960,-10,30.33
"DA06_139G","Sum_perc",230.5,2018,-68,20.85
"DA06_139G","Sum_perc",235.5,2077,-127,32.24
"DA06_139G","Sum_perc",240.5,2135,-185,4.62
"DA06_139G","Sum_perc",245.5,2193,-243,19.25
"DA06_139G","Sum_perc",250.5,2251,-301,1.98
"DA06_139G","Sum_perc",255.5,2309,-359,23.96
"DA06_139G","Sum_perc",260.5,2368,-418,20.78
"DA06_139G","Sum_perc",265.5,2426,-476,32.26
"DA06_139G","Sum_perc",270.5,2484,-534,12.33
"DA06_139G","Sum_perc",275.5,2542,-592,33.9
"DA06_139G","Sum_perc",280.5,2600,-650,15.56
"DA06_139G","Sum_perc",285.5,2659,-709,32.32
"DA06_139G","Sum_perc",290.5,2717,-767,4.09
"DA06_139G","Sum_perc",295.5,2775,-825,35
"DA06_139G","Sum_perc",300.5,2833,-883,7.1
"DA06_139G","Sum_perc",305.5,2891,-941,19.6
"DA06_139G","Sum_perc",310.5,2950,-1000,21.09
"DA06_139G","Sum_perc",315.5,3008,-1058,15.58
"DA06_139G","Sum_perc",320.5,3066,-1116,1.96
"DA06_139G","Sum_perc",325.5,3124,-1174,17.76
"DA06_139G","Sum_perc",330.5,3182,-1232,7.28
"DA06_139G","Sum_perc",335.5,3241,-1291,25.6
"DA06_139G","Sum_perc",340.5,3299,-1349,1.65
"DA06_139G","Sum_perc",345.5,3357,-1407,31.11
"DA06_139G","Sum_perc",350.5,3415,-1465,2.3
"DA06_139G","Sum_perc",355.5,3473,-1523,29.24
"DA06_139G","Sum_perc",360.5,3532,-1582,35.67
"DA06_139G","Sum_perc",365.5,3590,-1640,33
"DA06_139G","Sum_perc",370.5,3648,-1698,5.98
"DA06_139G","Sum_perc",375.5,3706,-1756,26.07
"DA06_139G","Sum_perc",380.5,3765,-1815,12.21
"DA06_139G","Sum_perc",385.5,3823,-1873,36.6
"DA06_139G","Sum_perc",390.5,3881,-1931,2.53
"DA06_139G","Sum_perc",395.5,4046,-2096,36.23
"DA06_139G","Sum_perc",400.5,4161,-2211,13.02
"DA06_139G","Sum_perc",405.5,4277,-2327,23.88
"DA06_139G","Sum_perc",410.5,4393,-2443,43.17
"DA06_139G","Sum_perc",415.5,4509,-2559,31.61
"DA06_139G","Sum_perc",420.5,4624,-2674,12.79
"DA06_139G","Sum_perc",425.5,4740,-2790,45.06
"DA06_139G","Sum_perc",430.5,4856,-2906,14.89
"DA06_139G","Sum_perc",435.5,4972,-3022,26.73
"DA06_139G","Sum_perc",440.5,5087,-3137,9.15
"DA06_139G","Sum_perc",445.5,5203,-3253,30.79
