"Core","Property","Depth","Age_BP","Age_CE","Value"
"MD99_2263","IP25_adim",0.25,NA,1997,0.27
"MD99_2263","IP25_adim",0.75,NA,1992,0.4
"MD99_2263","IP25_adim",1.75,NA,1982,0.61
"MD99_2263","IP25_adim",2.25,NA,1977,0.37
"MD99_2263","IP25_adim",2.75,NA,1972,0.56
"MD99_2263","IP25_adim",3.25,NA,1967,0.49
"MD99_2263","IP25_adim",3.75,NA,1962,0.89
"MD99_2263","IP25_adim",4.25,NA,1942,0.52
"MD99_2263","IP25_adim",4.75,NA,1905,0.58
"MD99_2263","IP25_adim",5.25,NA,1868,0.4
"MD99_2263","IP25_adim",5.75,NA,1832,0.83
"MD99_2263","IP25_adim",6.25,NA,1795,0.59
"MD99_2263","IP25_adim",6.75,NA,1758,0.79
"MD99_2263","IP25_adim",7.25,NA,1737,0.44
"MD99_2263","IP25_adim",7.75,NA,1730,0.84
"MD99_2263","IP25_adim",8.75,NA,1717,0.66
"MD99_2263","IP25_adim",9.75,NA,1703,0.74
"MD99_2263","IP25_adim",10.25,NA,1692,0.6
"MD99_2263","IP25_adim",10.75,NA,1677,0.46
"MD99_2263","IP25_adim",11.25,NA,1662,0.56
"MD99_2263","IP25_adim",12.25,NA,1638,0.65
"MD99_2263","IP25_adim",13.25,NA,1632,0.28
"MD99_2263","IP25_adim",13.75,NA,1630,1.77
"MD99_2263","IP25_adim",14.25,NA,1627,0.56
"MD99_2263","IP25_adim",14.75,NA,1624,0.57
"MD99_2263","IP25_adim",15.25,NA,1621,0.69
"MD99_2263","IP25_adim",15.75,NA,1619,0.67
"MD99_2263","IP25_adim",16.25,NA,1616,0.66
"MD99_2263","IP25_adim",17.25,NA,1608,0.32
"MD99_2263","IP25_adim",17.75,NA,1598,0.93
"MD99_2263","IP25_adim",18.25,NA,1589,0.46
"MD99_2263","IP25_adim",18.75,NA,1580,0.6
"MD99_2263","IP25_adim",19.25,NA,1571,0.43
"MD99_2263","IP25_adim",19.75,NA,1562,1.25
"MD99_2263","IP25_adim",20.25,NA,1553,0.54
"MD99_2263","IP25_adim",20.75,NA,1544,0.84
"MD99_2263","IP25_adim",21.25,NA,1535,0.21
"MD99_2263","IP25_adim",21.75,NA,1526,0.72
"MD99_2263","IP25_adim",22.25,NA,1517,0.42
"MD99_2263","IP25_adim",22.75,NA,1508,0.82
"MD99_2263","IP25_adim",23.25,NA,1499,0.59
"MD99_2263","IP25_adim",23.75,NA,1490,1.64
"MD99_2263","IP25_adim",24.25,NA,1481,0.37
"MD99_2263","IP25_adim",24.75,NA,1472,0.44
"MD99_2263","IP25_adim",25.25,NA,1454,0.38
"MD99_2263","IP25_adim",25.75,NA,1428,0.48
"MD99_2263","IP25_adim",26.25,NA,1402,0.86
"MD99_2263","IP25_adim",26.75,NA,1375,0.51
"MD99_2263","IP25_adim",27.25,NA,1349,0.44
"MD99_2263","IP25_adim",27.75,NA,1323,0.59
"MD99_2263","IP25_adim",28.25,NA,1296,0.24
"MD99_2263","IP25_adim",28.75,NA,1270,0.62
"MD99_2263","IP25_adim",29.25,NA,1244,0.27
"MD99_2263","IP25_adim",29.75,NA,1217,0.43
"MD99_2263","IP25_adim",30.75,NA,1164,0.1
"MD99_2263","IP25_adim",31.25,NA,1138,0.3
"MD99_2263","IP25_adim",31.75,NA,1112,0.36
"MD99_2263","IP25_adim",32.25,NA,1085,0.29
"MD99_2263","IP25_adim",32.75,NA,1059,0.18
"MD99_2263","IP25_adim",33.25,NA,1033,0.18
"MD99_2263","IP25_adim",33.75,NA,1006,0.2
"MD99_2263","IP25_adim",34.25,NA,980,0.27
"MD99_2263","IP25_adim",34.75,NA,954,0.18
"MD99_2263","IP25_adim",35.25,NA,927,0.47
"MD99_2263","IP25_adim",36.25,NA,875,0.26
"MD99_2263","IP25_adim",37.25,NA,822,0
"MD99_2263","IP25_adim",37.75,NA,796,0.09
"MD99_2263","IP25_adim",38.25,NA,769,0.28
"MD99_2263","IP25_adim",38.75,NA,734,0
"MD99_2263","IP25_adim",39.25,NA,691,0.23
"MD99_2263","IP25_adim",39.75,NA,647,0.37
"MD99_2263","IP25_adim",40.25,NA,604,0.27
"MD99_2263","IP25_adim",40.75,NA,560,0.62
"MD99_2263","IP25_adim",41.25,NA,517,0
"MD99_2263","IP25_adim",42.25,NA,430,0
"MD99_2263","IP25_adim",42.75,NA,386,0.63
"MD99_2263","IP25_adim",43.25,NA,343,0.27
"MD99_2263","IP25_adim",43.75,NA,299,0
"MD99_2263","IP25_adim",44.25,NA,256,0.39
"MD99_2263","IP25_adim",44.25,NA,250,0.39
