"Core","Property","Depth","Age_BP","Age_CE","Value"
"AMD14_204_CASQ","IP25_nggTOC",0.5,152,1798,1877.71
"AMD14_204_CASQ","IP25_nggTOC",1.5,167,1783,1764.48
"AMD14_204_CASQ","IP25_nggTOC",2.5,182,1768,1878.58
"AMD14_204_CASQ","IP25_nggTOC",3.5,197,1753,1708.64
"AMD14_204_CASQ","IP25_nggTOC",4.5,213,1737,1748.02
"AMD14_204_CASQ","IP25_nggTOC",5.5,228,1722,2201.29
"AMD14_204_CASQ","IP25_nggTOC",6.5,243,1707,1620.76
"AMD14_204_CASQ","IP25_nggTOC",7.5,258,1692,1909.39
"AMD14_204_CASQ","IP25_nggTOC",8.5,273,1677,1844.43
"AMD14_204_CASQ","IP25_nggTOC",9.5,289,1661,1561.33
"AMD14_204_CASQ","IP25_nggTOC",10.5,304,1646,2047.27
"AMD14_204_CASQ","IP25_nggTOC",11.5,319,1631,1991.52
"AMD14_204_CASQ","IP25_nggTOC",12.5,334,1616,2109.72
"AMD14_204_CASQ","IP25_nggTOC",13.5,349,1601,1940.29
"AMD14_204_CASQ","IP25_nggTOC",14.5,365,1585,1853.64
"AMD14_204_CASQ","IP25_nggTOC",15.5,380,1570,1754.69
"AMD14_204_CASQ","IP25_nggTOC",16.5,395,1555,1791.82
"AMD14_204_CASQ","IP25_nggTOC",17.5,410,1540,1618.43
"AMD14_204_CASQ","IP25_nggTOC",18.5,425,1525,1710.88
"AMD14_204_CASQ","IP25_nggTOC",19.5,441,1509,1318.48
"AMD14_204_CASQ","IP25_nggTOC",20.5,456,1494,1121.71
"AMD14_204_CASQ","IP25_nggTOC",21.5,471,1479,1144.59
"AMD14_204_CASQ","IP25_nggTOC",22.5,486,1464,1192.77
"AMD14_204_CASQ","IP25_nggTOC",23.5,501,1449,1263.94
"AMD14_204_CASQ","IP25_nggTOC",24.5,517,1433,1142.23
"AMD14_204_CASQ","IP25_nggTOC",25.5,532,1418,1203.35
"AMD14_204_CASQ","IP25_nggTOC",26.5,547,1403,1099.17
"AMD14_204_CASQ","IP25_nggTOC",27.5,562,1388,1106.86
"AMD14_204_CASQ","IP25_nggTOC",28.5,577,1373,1147.3
"AMD14_204_CASQ","IP25_nggTOC",29.5,593,1358,1162.85
"AMD14_204_CASQ","IP25_nggTOC",30.5,608,1342,1218.94
"AMD14_204_CASQ","IP25_nggTOC",31.5,623,1327,1092.37
"AMD14_204_CASQ","IP25_nggTOC",32.5,638,1312,1167.15
"AMD14_204_CASQ","IP25_nggTOC",33.5,653,1297,1086.44
"AMD14_204_CASQ","IP25_nggTOC",34.5,669,1282,1180.75
"AMD14_204_CASQ","IP25_nggTOC",35.5,684,1266,1221.39
"AMD14_204_CASQ","IP25_nggTOC",36.5,699,1251,1308.93
