"Core","Property","Depth","Age_BP","Age_CE","Value"
"MD99_2269","IP25_uggDw",1,-30,1980,2.53
"MD99_2269","IP25_uggDw",6,13,1937,3.09
"MD99_2269","IP25_uggDw",11,56,1894,2.64
"MD99_2269","IP25_uggDw",12,64,1886,2.76
"MD99_2269","IP25_uggDw",16,99,1851,3.81
"MD99_2269","IP25_uggDw",21,142,1808,3.76
"MD99_2269","IP25_uggDw",26,185,1765,3.57
"MD99_2269","IP25_uggDw",31,220,1730,3.08
"MD99_2269","IP25_uggDw",36,255,1695,3.53
"MD99_2269","IP25_uggDw",41,291,1659,2.76
"MD99_2269","IP25_uggDw",46,326,1624,2.95
"MD99_2269","IP25_uggDw",51,361,1589,2.65
"MD99_2269","IP25_uggDw",56,375,1575,2.97
"MD99_2269","IP25_uggDw",66,404,1546,2.57
"MD99_2269","IP25_uggDw",76,433,1517,2.3
"MD99_2269","IP25_uggDw",86,461,1489,1.94
"MD99_2269","IP25_uggDw",96,490,1460,1.87
"MD99_2269","IP25_uggDw",103,510,1440,1.87
"MD99_2269","IP25_uggDw",111,533,1417,2.51
"MD99_2269","IP25_uggDw",121,561,1389,2.21
"MD99_2269","IP25_uggDw",131,590,1360,2.13
"MD99_2269","IP25_uggDw",141,620,1330,2.77
"MD99_2269","IP25_uggDw",151,649,1301,1.22
"MD99_2269","IP25_uggDw",156,670,1280,1.68
"MD99_2269","IP25_uggDw",161,691,1259,2
"MD99_2269","IP25_uggDw",166,712,1238,1.22
"MD99_2269","IP25_uggDw",171,733,1217,1.67
"MD99_2269","IP25_uggDw",176,754,1196,1.45
"MD99_2269","IP25_uggDw",181,778,1172,1.4
"MD99_2269","IP25_uggDw",186,802,1148,1.5
"MD99_2269","IP25_uggDw",191,827,1124,1.62
"MD99_2269","IP25_uggDw",196,851,1099,1.89
"MD99_2269","IP25_uggDw",201,875,1075,1.67
"MD99_2269","IP25_uggDw",206,899,1051,1.46
"MD99_2269","IP25_uggDw",213,932,1018,1.28
"MD99_2269","IP25_uggDw",216,947,1003,1.64
"MD99_2269","IP25_uggDw",221,971,979,1.31
"MD99_2269","IP25_uggDw",226,995,955,1.02
"MD99_2269","IP25_uggDw",231,1022,928,1.34
"MD99_2269","IP25_uggDw",236,1049,901,1.52
"MD99_2269","IP25_uggDw",239.5,1068,882,2.07
"MD99_2269","IP25_uggDw",243,1087,863,1.65
"MD99_2269","IP25_uggDw",246,1104,846,1.55
"MD99_2269","IP25_uggDw",251,1131,819,1.82
"MD99_2269","IP25_uggDw",256,1161,789,1.65
"MD99_2269","IP25_uggDw",261,1192,758,1.9
"MD99_2269","IP25_uggDw",266,1223,728,1.93
"MD99_2269","IP25_uggDw",271,1253,697,1.91
"MD99_2269","IP25_uggDw",276,1284,666,1.61
"MD99_2269","IP25_uggDw",281,1300,650,2.04
"MD99_2269","IP25_uggDw",291,1334,616,1.6
"MD99_2269","IP25_uggDw",301,1368,582,2.31
"MD99_2269","IP25_uggDw",311,1401,549,1.62
"MD99_2269","IP25_uggDw",321,1435,515,2.03
"MD99_2269","IP25_uggDw",331,1469,481,1.58
